dateid,day,month,year,dayofweek,dayofyear
1464,12,2,2009,4,43
1465,21,11,2014,5,325
1466,29,4,2015,3,119
1467,25,11,2017,6,329
1468,11,6,2015,4,162
1469,9,4,2019,2,99
1470,13,7,2016,3,195
1471,1,6,2001,5,152
1472,18,4,2018,3,108
1473,9,12,2015,3,343
1474,15,8,2011,1,227
1475,10,10,2014,5,283
1476,28,5,2018,1,148
1477,20,6,2008,5,172
1478,11,10,2018,4,284
1479,11,11,2018,0,315
1480,7,8,2008,4,220
1481,31,8,2015,1,243
1482,10,6,2008,2,162
1483,25,7,2011,1,206
1484,4,3,2011,5,63
1485,9,8,2012,4,222
1486,13,11,2008,4,318
1487,5,4,2016,2,96
1488,15,9,2018,6,258
1489,14,10,2015,3,287
1490,26,10,2012,5,300
1491,19,8,2017,6,231
1492,13,1,2018,6,13
1493,5,10,2018,5,278
1494,11,9,2006,1,254
1495,6,1,2019,0,6
1496,19,2,2014,3,50
1497,17,5,2013,5,137
1498,7,2,2019,4,38
1499,21,3,2017,2,80
1500,3,3,2015,2,62
1501,7,10,2009,3,280
1502,17,6,2011,5,168
1503,9,12,2017,6,343
1504,11,10,2010,1,284
1505,19,8,2009,3,231
1506,18,8,2008,1,231
1507,18,12,2017,1,352
1508,29,1,2018,1,29
1509,29,4,2013,1,119
1510,17,7,2009,5,198
1511,20,12,2017,3,354
1512,28,4,2014,1,118
1513,24,9,2007,1,267
1514,22,8,2012,3,235
1515,20,4,2016,3,111
1516,20,3,2009,5,79
1517,17,11,2017,5,321
1518,1,11,2018,4,305
1519,25,10,2017,3,298
1520,1,5,2017,1,121
1521,21,7,2010,3,202
1522,,,1997,,
1523,12,10,2011,3,285
1524,20,11,2016,0,325
1525,6,4,2019,6,96
1526,9,11,2018,5,313
1527,14,6,2011,2,165
1528,16,5,2012,3,137
1529,8,4,2018,0,98
1530,15,2,2018,4,46
1531,13,8,2014,3,225
1532,28,1,2014,2,28
1533,19,9,2014,5,262
1534,7,4,2019,0,97
1535,18,8,2017,5,230
1536,31,3,2019,0,90
1537,19,9,2012,3,263
1538,20,3,2018,2,79
1539,22,7,2015,3,203
1540,2,10,2014,4,275
1541,8,6,2012,5,160
1542,5,12,2013,4,339
1543,3,12,2009,4,337
1544,10,4,2009,5,100
1545,13,10,2018,6,286
1546,19,7,2018,4,200
1547,26,5,2009,2,146
1548,24,7,2014,4,205
1549,5,7,2012,4,187
1550,,,1983,,
1551,16,8,2005,2,228
1552,16,4,2012,1,107
1553,2,10,2018,2,275
1554,24,2,2019,0,55
1555,10,12,2018,1,344
1556,4,1,2008,5,4
1557,29,8,2013,4,241
1558,11,2,2014,2,42
1559,20,2,2014,4,51
1560,20,8,2010,5,232
1561,30,5,2014,5,150
1562,4,11,2014,2,308
1563,15,5,2018,2,135
1564,19,3,2015,4,78
1565,11,4,2014,5,101
1566,19,12,2014,5,353
1567,27,7,2009,1,208
1568,4,5,2016,3,125
1569,18,2,2017,6,49
1570,17,3,2015,2,76
1571,1,11,2012,4,306
1572,28,6,2017,3,179
1573,8,4,2009,3,98
1574,13,11,2017,1,317
1575,19,7,2016,2,201
1576,,,2009,,
1577,21,12,2012,5,356
1578,13,12,2012,4,348
1579,23,10,2016,0,297
1580,7,12,2015,1,341
1581,18,2,2014,2,49
1582,15,9,2008,1,259
1583,2,12,2017,6,336
1584,29,6,2017,4,180
1585,4,11,2016,5,309
1586,16,7,2017,0,197
1587,7,8,2012,2,220
1588,8,9,2015,2,251
1589,9,5,2013,4,129
1590,14,7,2014,1,195
1591,29,9,2015,2,272
1592,2,11,2010,2,306
1593,3,2,2010,3,34
1594,9,10,2013,3,282
1595,31,8,2018,5,243
1596,4,5,2007,5,124
1597,16,1,2019,3,16
1598,24,12,2017,0,358
1599,28,3,2018,3,87
1600,8,8,2011,1,220
1601,1,3,2017,3,60
1602,12,10,2010,2,285
1603,,,1999,,
1604,17,2,2012,5,48
1605,8,3,2012,4,68
1606,14,1,2015,3,14
1607,17,4,2019,3,107
1608,8,1,2009,4,8
1609,24,11,2014,1,328
1610,3,11,2016,4,308
1611,24,3,2018,6,83
1612,29,11,2018,4,333
1613,25,8,2016,4,238
1614,27,4,2012,5,118
1615,12,5,2011,4,132
1616,20,10,2014,1,293
1617,3,9,2013,2,246
1618,6,3,2007,2,65
1619,5,2,2016,5,36
1620,15,2,2010,1,46
1621,9,10,2017,1,282
1622,4,5,2012,5,125
1623,26,7,2018,4,207
1624,27,3,2018,2,86
1625,13,6,2008,5,165
1626,26,1,2016,2,26
1627,20,5,2016,5,141
1628,11,2,2018,0,42
1629,17,9,2010,5,260
1630,16,4,2008,3,107
1631,11,7,2017,2,192
1632,22,1,2010,5,22
1633,1,12,2009,2,335
1634,10,3,2019,0,69
1635,25,5,2018,5,145
1636,16,4,2017,0,106
1637,24,4,2014,4,114
1638,11,10,2017,3,284
1639,17,9,2018,1,260
1640,4,12,2018,2,338
1641,22,3,2019,5,81
1642,12,3,2014,3,71
1643,27,4,2017,4,117
1644,18,7,2018,3,199
1645,14,10,2011,5,287
1646,5,10,2012,5,279
1647,24,12,2014,3,358
1648,18,2,2016,4,49
1649,12,2,2019,2,43
1650,3,4,2017,1,93
1651,17,7,2007,2,198
1652,14,1,2019,1,14
1653,4,4,2019,4,94
1654,8,12,2018,6,342
1655,3,10,2012,3,277
1656,8,9,2018,6,251
1657,9,2,2017,4,40
1658,21,6,2016,2,173
1659,11,8,2014,1,223
1660,16,11,2017,4,320
1661,11,10,2011,2,284
1662,1,10,2010,5,274
1663,31,1,2013,4,31
1664,12,8,2010,4,224
1665,6,2,2019,3,37
1666,26,8,2011,5,238
1667,20,8,2014,3,232
1668,4,4,2013,4,94
1669,4,11,2017,6,308
1670,30,5,2013,4,150
1671,26,9,2011,1,269
1672,23,10,2017,1,296
1673,11,5,2011,3,131
1674,24,11,2018,6,328
1675,14,4,2018,6,104
1676,1,12,2017,5,335
1677,20,5,2015,3,140
1678,24,3,2011,4,83
1679,7,5,2012,1,128
1680,12,8,2015,3,224
1681,14,3,2018,3,73
1682,15,12,2015,2,349
1683,20,4,2018,5,110
1684,3,1,2017,2,3
1685,20,11,2012,2,325
