developerid,name,city,administrativedivision,country,founding_year
17660,Transmedia Entertainment,,,,
17661,Joint Ventures,,,,
17662,GoeX GameS,,,,
17663,Kaigan Games OÜ,,,,
17664,Exozet,,,,
17665,Nathaniel Powell,,,,
17666,DEtH_MoroZ,,,,
17667,Third Impression,,,,
17668,Toucan Studio,,,,
17669,Dashing Strike,,,,
17670,HoldensVR,,,,
17671,BKOM Studios,,,,
17672,Convict Games,,,,
17673,"CSIS (CSI Studio Co.,Ltd.)",,,,
17674,Twenty Dolz Production,,,,
17675,Here Be Dragonz,,,,
17676,Gremlin Interactive,Sheffield,England,United Kingdom,1984
17677,Ch.ZBK,,,,
17678,Purple Studios,,,,
17679,Game Studio Abraham Stolk Inc.,,,,
17680,Archetype Studios,,,,
17681,LW Games,,,,
17682,Johannes Noak,,,,
17683,LiveItGames LLC,,,,
17684,Lemon Jam Studio,,,,
17685,Focus on Fun Games,,,,
17686,Potato Games,,,,
17687,Himalaya Studios,,,,
17688,SC Jogos,,,,
17689,Millenium Project Enterprises,,,,
17690,Toasty Games,,,,
17691,Noodletub Games,,,,
17692,"Diantong Intelligence Tech. Shanghai Co.,Ltd.",,,,
17693,Virtual Earth Online,,,,
17694,Booper Inc,,,,
17695,FiveStarGames,,,,
17696,y8.com,,,,
17697,Null Reference Games LLC,,,,
17698,Secret Overground Lab,,,,
17699,Rebuff Reality,,,,
17700,Masterbrain Bytes GmbH & Co. KG,,,,
17701,HAN XU,,,,
17702,Last Dimension,,,,
17703,Fabio Adamo,,,,
17704,Wathitdew Record,,,,
17705,"Harmonix Music Systems, Inc",,,,
17706,Trickster Games,,,,
17707,Joshua Roland,,,,
17708,WEB Gaming Entertainment,,,,
17709,Battle Crafters LLC,,,,
17710,Winter Legend,,,,
17711,OVERKILL - a Starbreeze Studio.,,,,
17712,Artificer Cascadia,,,,
17713,Bubble Studios,,,,
17714,Flashpoint Games,,,,
17715,Three Prong Productions,,,,
17716,Miracle Tea,,,,
17717,Zero Dollarz,,,,
17718,Artoon,Yokohama,,Japan,1999
17719,FobTi interactive,,,,
17720,inbetweengames,,,,
17721,71Games,,,,
17722,"VRAD, Inc",,,,
17723,Dragon Wing Studio,,,,
17724,SCE Studio Liverpool,Liverpool,England,United Kingdom,1984
17725,Just Funny Games,,,,
17726,Cole Kitroser,,,,
17727,Pixel Gangsta Studio,,,,
17728,Alex_redmiau,,,,
17729,Blind Raccoon Studio,,,,
17730,InImages,,,,
17731,Dream Holdings,,,,
17732,Simondtd,,,,
17733,橘子班,,,,
17734,NerdyYetis,,,,
17735,Rebellion,,,,
17736,Impostor Cat Games,,,,
17737,"Beijing Touch the heart interactive technology co., LTD",,,,
17738,Emmanuel Salva Cruz,,,,
17739,SANBAE,,,,
17740,ZoR Dev,,,,
17741,Oniris Studios,,,,
17742,Aaron Turner,,,,
17743,Riovox,,,,
17744,SSCTEAM,,,,
17745,Wormwood Studios,,,,
17746,Uncaged Studios,,,,
17747,Woblyware,,,,
17748,Gisa Ferreira,,,,
17749,Epiphany Games,,,,
17750,EastFog Studios,,,,
17751,Krealit,,,,
17752,Bitporters LTD.,,,,
17753,Porpentine,,,,
17754,Ripstone,,,,
17755,SIMSREALITY,,,,
17756,Brentinitis,,,,
17757,Nicholas Rizzo,,,,
17758,Mike Bushell,,,,
17759,RobTop Games,,,,
17760,DM Media,,,,
17761,Polska Lemon Ltd.,,,,
17762,Stefan Kelnberger,,,,
17763,Rainbow Rhino,,,,
17764,Nervtek,,,,
17765,Vionsoft,,,,
17766,Giant Light Studios,,,,
17767,Andy Sharpe,,,,
17768,Without Haste,,,,
17769,Crasleen Games,,,,
17770,Yusuke Uemura,,,,
17771,RNC,,,,
17772,Back To Basics Gaming,,,,
17773,GSE,,,,
17774,Business Tycoon,,,,
17775,Motivation Game Studio,,,,
17776,Mason Lindroth,,,,
17777,VersoVR,,,,
17778,Nightly Studios,,,,
17779,Sean Han Tani,,,,
17780,bu2 sutdio,,,,
17781,Topstitch Games,,,,
17782,New Star Games Ltd.,,,,
17783,FoxLeap,,,,
17784,Dollon,,,,
17785,Windforce,,,,
17786,Anarchy Enterprises,,,,
17787,RewindApp,,,,
17788,Paper Pirates,,,,
17789,DragonSix,,,,
17790,Fatshark,Stockholm,,Sweden,2008
17791,KK Game Studio,,,,
17792,Bad Coffee Games,,,,
17793,Winter's Chill Studio,,,,
17794,RockyDev,,,,
17795,"Visualistic Studios, LLC.",,,,
17796,Lead Money Games,,,,
17797,Zilby,,,,
17798,Arclight Worlds,,,,
17799,Mashiro,,,,
17800,RiDeLy,,,,
17801,Alex Thomas,,,,
17802,4Bit Games,,,,
17803,MyACG Studio,,,,
17804,The Game Creators,,,,
17805,K3I,,,,
17806,King's Lance Games,,,,
17807,TriHelix LLC,,,,
17808,Intelligent Systems,Tokyo,,Japan,1986
17809,LAS Team,,,,
17810,Interactive Stone,,,,
17811,Another Story,,,,
17812,Sleepy Spider Studios,,,,
17813,OnFire Games,,,,
17814,MC2,,,,
17815,OxPrimeStudio,,,,
17816,"CAPCOM CO., LTD.",,,,
17817,Prime Studios,,,,
17818,Nival,St. Petersburg,,Russia,1996
17819,Pink Potion,,,,
17820,托更的修罗,,,,
17821,FCG,,,,
17822,RevolutionGT,,,,
17823,OddBird,,,,
17824,Kaneda Games,,,,
17825,"CFK Co., Ltd.",,,,
17826,Liquid Dragon Studios,,,,
17827,Endwise,,,,
17828,Mata,,,,
17829,Impact Gameworks,,,,
17830,Hostel Games,,,,
17831,Frank J Sudol,,,,
17832,Po-Jui Huang,,,,
17833,Soviet Games,,,,
17834,Amy Li,,,,
17835,WaveDNA,,,,
17836,Construct Studio,,,,
17837,IKIGames,,,,
17838,Silent Dreams,,,,
17839,Evolution Studios,Runcorn,England,United Kingdom,1999
17840,星愿游戏制作组,,,,
17841,16 Swans,,,,
17842,MetalBear,,,,
17843,Synnergy Circle Games,,,,
17844,AKABEiSOFT2,,,,
17845,PiFTy,,,,
17846,JOZGames,,,,
17847,Ravegan,,,,
17848,KoromoSoft,,,,
17849,James Mearman,,,,
17850,Tachyon Factory,,,,
17851,GooDCrafter,,,,
17852,Games Workshop,,,,
17853,KT Racing,,,,
17854,BicBoi Bangers,,,,
17855,SONNORI Corp,,,,
17856,Sold Out,,,,
17857,Acid Wizard Studio,,,,
17858,Rooted Concepts,,,,
17859,SilverDam™,,,,
17860,Hobbisoft,,,,
17861,Studio Gamaii,,,,
17862,FLEB,,,,
17863,ZGame Studio,,,,
17864,Sven Co-op Team,,,,
17865,Holospark,,,,
17866,Tryfirst,,,,
17867,RocketWerkz,,,,
17868,Dreamsoft,,,,
17869,RCG,,,,
17870,tomeapp,,,,
17871,дель7in,,,,
17872,Bernackels,,,,
17873,Kolapo Oni,,,,
17874,Bon,,,,
17875,WonderlandKazakiri,,,,
17876,Sub Orbital Software,,,,
17877,S.E.E.D.,,,,
17878,Q'Prod,,,,
17879,Crazy Goat Games,,,,
17880,Knut Müller,,,,
17881,Retro Affect,,,,
17882,Arcane Raise,,,,
17883,ACE Team,Santiago de Chile,,Chile,2007
17884,West Coast Software,,,,
17885,Fireline Games,,,,
17886,Zen Chess Club,,,,
17887,Simple Racing,,,,
17888,Twistplay,,,,
17889,Telestic Studios,,,,
17890,Magicbane,,,,
17891,Graeme Scott,,,,
17892,@YearOfTheBob,,,,
17893,PowerGaelic,,,,
17894,VERTEX HORIZON,,,,
17895,Fizzure Entertainment,,,,
17896,Arc System Works,Yokohama,,Japan,1988
17897,"Kaleido, Inc.",,,,
17898,Daisu Games,,,,
17899,"Zero Mass Energy, Inc",,,,
17900,Adham Jaber,,,,
17901,Tale Studios,,,,
17902,Grean,,,,
17903,Scoria Studios,,,,
17904,SharF Co.,,,,
17905,Michaelsoft,,,,
17906,DesktopPaints LLC,,,,
17907,Iron,,,,
17908,Merscom LLC,,,,
17909,Branch Games,,,,
17910,VinLia Games,,,,
17911,Overture,,,,
17912,Potassium Frog Limited,,,,
17913,Zebec Games,,,,
17914,Magic VR,,,,
17915,Consala Games,,,,
17916,He Zhengchun,,,,
17917,Sector-K Games,,,,
17918,alexnown,,,,
17919,JoqLePecheur,,,,
17920,Tortuga Team,,,,
17921,Moonworks,,,,
17922,Pillow's Willow,,,,
17923,dimosha_92,,,,
17924,Zever Games,,,,
17925,nada studio,,,,
17926,Gamecosm,,,,
17927,Saturn-plus,,,,
17928,Level-5,Fukuoka,,Japan,1998
17929,"Emerson Design, Inc.",,,,
17930,Throwback Entertainment,,,,
17931,Kojima Productions,Tokyo,,Japan,2005
17932,Roccat Games Studio,,,,
17933,Free Candy Games,,,,
17934,Nonlinear,,,,
17935,KazukiShiroma,,,,
17936,Rouhana,,,,
17937,ASK.,,,,
17938,Spytihněv,,,,
17939,Frima,,,,
17940,Garret Polk,,,,
17941,Rebelware Games,,,,
17942,君悦互动,,,,
17943,Michael Cox,,,,
17944,Creoteam,,,,
17945,Games Faction,,,,
17946,terakorp,,,,
17947,MythicOwl,,,,
17948,Mash Games,,,,
17949,ClockStone,,,,
17950,Camouflaj,,,,
17951,VOLTHOLE Inc.,,,,
17952,Ideonic,,,,
17953,Real Fighting,,,,
17954,Koyannis Games,,,,
17955,Tayanna Studios,,,,
17956,Gl33k,,,,
17957,Mud Duck Productions,,,,
17958,ETI,,,,
17959,Ludosity,,,,
17960,Gnioto VR,,,,
17961,TiMi Studios,Shenzhen,,China,2008
17962,MXTreality,,,,
17963,Eric Hartman,,,,
17964,"8th Shore, Inc.",,,,
17965,"Spark Plug Games, LLC",,,,
17966,Ground Shatter,,,,
17967,Windy Games,,,,
17968,DNV,,,,
17969,TKG Inc.,,,,
17970,废材炼金术士,,,,
17971,Bloody Forehead Entertainment,,,,
17972,Philippe Forgeur,,,,
17973,Namco,Tokyo,,Japan,1986
17974,InsGames,,,,
17975,CheGu,,,,
17976,StarworkGC,,,,
17977,KoheiGallery,,,,
17978,Retrover Games,,,,
17979,Calepin Studio,,,,
17980,KUMA GAMES,,,,
17981,Alex Woodcock,,,,
17982,ZovGame,,,,
17983,Hoplon,,,,
17984,ASC Games,,,,
17985,DoshMallow Games,,,,
17986,Actual Humans,,,,
17987,HeroCraft Krasnodar,,,,
17988,Steel Crate Games,,,,
17989,As-key,,,,
17990,"Entwell Co., Ltd.",,,,
17991,Headless Wizard,,,,
17992,Flight-Plan,Gifu,,Japan,1989
17993,jackstree,,,,
17994,Traptics,,,,
17995,Axis Granted Creations Team,,,,
17996,Dai Yong Xiang,,,,
17997,章鱼罐头制作组,,,,
17998,Quick Click Games,,,,
17999,Hentai.US,,,,
18000,Ben 'Yahtzee' Croshaw,,,,
18001,Lohika Games,,,,
18002,Praxia Entertainment,,,,
18003,OMNIDREAM CREATIONS,,,,
18004,Rumpus,,,,
18005,RMIT VX Lab,,,,
18006,Bearded Giant Games,,,,
18007,2015,,,,
18008,WIDStudio,,,,
18009,Oddly Shaped Pixels,,,,
18010,Sandlot,Tokyo,,Japan,2001
