developerid,name,city,administrativedivision,country,founding_year
553,Spike Chunsoft,Tokyo,,Japan,2012
554,Spil Games,Hilversum,,Netherlands,2001
555,Splash Damage,London,England,United Kingdom,2001
556,Sproing Interactive Media,Vienna,,Austria,2001
557,Square Enix,"Shinjuku, Tokyo",,Japan,1975
558,Squad,Mexico City,,Mexico,2009
559,Stainless Games,Newport,England,United Kingdom,1993
560,Stainless Steel Studios,Cambridge,Massachusetts,United States,1998
561,Starbreeze Studios,Uppsala,,Sweden,1998
562,Stardock,Plymouth,Michigan,United States,1991
563,Sting Entertainment,Tokyo,,Japan,1989
564,Strategic Simulations,Sunnyvale,California,United States,1979
565,Stoic Studio,Austin,Texas,United States,2011
566,Strawdog Studios,Derby,England,United Kingdom,2003
567,Straylight Studios,Dunedin,,New Zealand,2004
568,Streamline Studios,Kuala Lumpur,,Malaysia,2001
569,Success,Tokyo,,Japan,1978
570,Sucker Punch Productions,Bellevue,Washington,United States,1997
571,Sumo Digital,Sheffield,England,United Kingdom,2003
572,Supercell,Helsinki,,Finland,2010
573,Supermassive Games,Guildford,England,United Kingdom,2008
574,SuperVillain Studios,Orange County,California,United States,2004
575,Survios,Los Angeles,California,United States,2013
576,Studio Wildcard,Kirkland,Washington,United States,2014
577,Swingin' Ape Studios,Aliso Viejo,California,United States,2000
578,StormRegion,Budapest,,Hungary,2001
579,Sunstorm Interactive,Indianapolis,Indiana,United States,1995
580,Syn Sophia,Tokyo,,Japan,1995
581,SystemSoft Beta,Tokyo,,Japan,1999
582,Taito,"Shinjuku, Tokyo",,Japan,1953
583,Tango Gameworks,"Minato, Tokyo",,Japan,2010
584,Tag Games,Dundee,Scotland,United Kingdom,2006
585,TaleWorlds Entertainment,Ankara,,Turkey,2005
586,Tamsoft,Asakusa,,Japan,1992
587,T&E Soft,Aichi,,Japan,1982
588,Tantrumedia,Wirral,England,United Kingdom,2003
589,Tantalus Media,Melbourne,Victoria,Australia,1994
590,Tarsier Studios,Malmö,,Sweden,2004
591,Tate Multimedia,Warsaw,,Poland,2002
592,Team17,Ossett,England,United Kingdom,1990
593,Team Bondi,Sydney,New South Wales,Australia,2003
594,Team Ico,Tokyo,,Japan,1997
595,Team Ninja,Tokyo,,Japan,1995
596,Techland,Ostrów Wielkopolski,,Poland,1991
597,Tecmo,Tokyo,,Japan,1967
598,Telltale Games,San Rafael,California,United States,2004
599,Tencent,Shenzhen,,China,1998
600,Tencent Games,Shenzhen,,China,2003
601,Tequila Works,Madrid,,Spain,2009
602,Terminal Reality,Lewisville,Texas,United States,1994
603,Tetris Online,Honolulu,Hawaii,United States,2006
604,Teyon,Kraków,,Poland,2006
605,Thatgamecompany,Santa Monica,California,United States,2006
606,The Chinese Room,Brighton,England,United Kingdom,2007
607,The Coalition,Vancouver,,Canada,2010
608,The Farm 51,Gliwice,,Poland,2005
609,The Initiative,Santa Monica,California,United States,2018
610,THQ,Agoura Hills,California,United States,1989
611,THQ Nordic,ViennaKarlstad,,AustriaSweden,2011
612,Three Fields Entertainment,Petersfield,England,United Kingdom,2014
613,Three Rings Design,San Francisco,California,United States,2001
614,TimeGate Studios,Sugar Land,Texas,United States,1998
615,TiMi Studios,Shenzhen,,China,2008
616,Toaplan,Tokyo,,Japan,1984
617,ToeJam & Earl Productions,San Francisco,California,United States,1989
618,Tokyo RPG Factory,Tokyo,,Japan,2014
619,TopWare Interactive,Karlsruhe,,Germany,1995
620,Torpex Games,Bellevue,Washington,United States,2005
621,Torus Games,Bayswater,Victoria,Australia,1994
622,Tose,Kyoto,,Japan,1979
623,Toys for Bob,Novato,California,United States,1989
624,Trapdoor,Montreal,Quebec,Canada,2010
625,Transmission Games,Melbourne,Victoria,Australia,1996
626,Traveller's Tales,Knutsford,England,United Kingdom,1990
627,Treyarch,Santa Monica,California,United States,1996
628,Treasure,Tokyo,,Japan,1992
629,tri-Ace,Tokyo,,Japan,1995
630,tri-Crescendo,Tokyo,,Japan,1999
631,Trion Worlds,Redwood City,California,United States,2006
632,Tripwire Interactive,Roswell,Georgia,United States,2005
633,Triumph Studios,Delft,,Netherlands,1997
634,Turn 10 Studios,Redmond,Washington,United States,2001
635,Turtle Rock Studios,Lake Forest,California,United States,2002
636,Two Point Studios,Surrey,England,United Kingdom,2016
637,Two Tribes,Amersfoort,,Netherlands,2000
638,Typhoon Games (HK),Hong Kong SAR,,China,2001
639,Ubisoft,Montreuil-sous-Bois,,Europe,1986
640,Ubisoft Blue Byte,Düsseldorf,,Germany,1988
641,Ubisoft Reflections,Newcastle upon Tyne,England,United Kingdom,1984
642,UEP Systems,Tokyo,,Japan,1985
643,Ultimate Play the Game,Ashby-de-la-Zouch,England,United Kingdom,1982
644,Undead Labs,Seattle,Washington,United States,2009
645,United Front Games,Vancouver,British Columbia,Canada,2006
646,United Game Artists,Tokyo,,Japan,1996
647,Universomo,Tampere,,Finland,2002
648,Valve,Kirkland,Washington,United States,1996
649,Vanillaware,"Chūō-ku, Osaka",,Japan,2002
650,Vanpool,Tokyo,,Japan,1999
651,Venan Entertainment,Cromwell,Connecticut,United States,2002
652,Vicarious Visions,Albany (Menands),New York,United States,1990
653,Vigil Games,Austin,Texas,United States,2005
654,Virtual Heroes,Raleigh,North Carolina,United States,2004
655,Virtuos,,,Singapore,2004
656,Visceral Games,Redwood City,California,United States,1998
657,Visual Concepts,Novato,California,United States,1988
658,Vostok Games,Kyiv,,Ukraine,2012
659,VoxelStorm,Manchester,England,United Kingdom,2012
660,Wahoo Studios,Orem,Utah,United States,2001
661,Warhorse Studios,Prague,,Czech Republic,2011
662,Wargaming,NicosiaMinsk,,CyprusBelarus,1998
663,Wargaming Saint Petersburg,Saint Petersburg,,Russia,1991
664,Wargaming Seattle,Redmond,Washington,United States,1998
665,Warner Bros. Interactive Entertainment,Chicago,Illinois,United States,1988
666,WB Games Boston (formerly Turbine),Needham,Massachusetts,United States,1994
667,WB Games - Avalanche (formerly Avalanche Software),Salt Lake City,Utah,United States,1995
668,Webfoot Technologies,Chicago,Illinois,United States,1993
669,WeMade,Seoul,,South Korea,2000
670,Westone Bit Entertainment,Tokyo,,Japan,1986
671,Westwood Studios,Las Vegas,Nevada,United States,1985
672,Wideload Games,Chicago,Illinois,United States,2003
673,Wildfire Studios,Brisbane,Queensland,Australia,1995
674,Wizet studio (Nexon development 1st division),Seoul,,South Korea,1999
675,Wolfire Games,Berkeley,California,United States,2003
676,World Forge,Voronezh,,Russia,2004
677,Xbox Game Studios,Redmond,Washington,United States,2002
678,XPEC Entertainment,Taipei,,Taiwan,2000
679,Yager Development,Berlin,,Germany,1999
680,Yuke's,Osaka,,Japan,1993
681,ZeniMax Online Studios,Hunt Valley,Maryland,United States,2007
682,Zen Studios,Budapest,,Hungary,2003
683,Zipper Interactive,Redmond,Washington,United States,1995
684,Zombie Studios,Seattle,Washington,United States,1994
685,ZootFly,Ljubljana,,Slovenia,2002
686,Zynga,San Francisco,California,United States,2007
170,The Dovetail Group,,,United States,
497,Rockstar Games,New York CityBangaloreLeedsLincolnLondonBallardval,New YorkKarnatakaEnglandScotlandMassachusettsCalif,United States,
225,Game Arts,Tokyo,,Japan,1985
226,Game Freak,Tokyo,,Japan,1989
233,Genki,Tokyo,,Japan,1990
85,Bloober Team,Kraków,Lesser Poland,Poland,2008
