developerid,name,city,administrativedivision,country,founding_year
128,Creat Studios,Canton,Massachusetts,United States,1990
129,Creative Assembly,Horsham,England,United Kingdom,1987
130,Creatures,Tokyo,,Japan,1995
131,Criterion Games,Guildford,England,United Kingdom,1993
132,Croteam,Zagreb,,Croatia,1993
133,Cryo Interactive,Paris,,France,1992
134,Culture Brain Excel,Tokyo,,Japan,1980
135,Crea-Tech,Tokyo,,Japan,1988
136,Cryptic Studios,Los Gatos,California,United States,2000
137,Crystal Dynamics,Redwood City,California,United States,1992
138,Crytek,Frankfurt,,Germany,1999
139,Crytek UK,Nottingham,England,United Kingdom,1999
140,Cyan Worlds,Mead,Washington,United States,1987
141,Cyanide,Nanterre,,France,2000
142,CyberConnect2,Fukuoka,,Japan,1996
143,Cyberlore Studios (Blueline Simulations[9]),Northampton,Massachusetts,United States,1992
144,CyberStep,Tokyo,,Japan,2000
145,Cygames,Tokyo,,Japan,2011
146,Dambuster Studios,Nottingham,England,United Kingdom,2014
147,Danger Close Games,Los Angeles,California,United States,1995
148,Day 1 Studios,Chicago,Illinois,United States,2001
149,Daybreak Game Company,San Diego,California,United States,1997
150,Deadline Games,Copenhagen,,Denmark,1996
151,Deck13,Frankfurt,,Germany,2001
152,Deep Silver Volition,Champaign,Illinois,United States,1996
153,Demiurge Studios,Cambridge,Massachusetts,United States,2002
154,DeNA,Tokyo,,Japan,1999
155,devCAT Studios (Nexon development 3rd division),Seoul,,South Korea,2001
156,Developer House (Developer House Technology PVT LTD)[13],Panchkula,,India,2015
157,Dhruva Interactive,Bangalore,,India,1997
158,Die Gute Fabrik,Copenhagen,,Denmark,2006
159,Digital Extremes,London,Ontario,Canada,1993
160,Digital Eclipse,Emeryville,California,United States,1992
161,Digitalmindsoft,Ulm,,Germany,2006
162,Digital Reality,Budapest,,Hungary,1991
163,Dimps,Osaka,,Japan,2000
164,Disney Interactive Studios,Glendale,California,United States,1988
165,Dontnod Entertainment,Paris,,France,2008
166,DotEmu,Paris,,France,2007
167,Double Fine Productions,San Francisco,California,United States,2000
168,Dynamix,Eugene,Oregon,United States,1984
169,Dovetail Games,Chatham,England,United Kingdom,2008
171,EA Black Box,British Columbia,,Canada,1998
172,EA Digital Illusions CE (EA DICE),Stockholm,,Sweden,1992
173,EA Gothenburg,Gothenburg,,Sweden,2011
174,EA Vancouver (formerly Distinctive Software),Burnaby,British Columbia,Canada,1982
175,Eat Sleep Play,Salt Lake City,Utah,United States,2007
176,Eko Software,Paris,,France,1999
177,Egosoft,Würselen,,Germany,1988
178,Eden Games,Lyon,,France,1998
179,Eighting,Tokyo,,Japan,1993
180,Electronic Arts,Redwood City,California,United States,1982
181,EA Sports,Redwood City,California,United States,1982
182,Elemental Games,Vladivostok,,Russia,1999
183,Engine Software,Doetinchem,,Netherlands,1995
184,Ensemble Studios,Dallas,Texas,United States,1995
185,Epic Games,Cary,North Carolina,United States,1991
186,Epics,Tokyo,,Japan,1987
187,Epicenter Studios,Sherman Oaks,California,United States,2007
